Gene	deGoede2017.padj	deGoede2017.logFC
CNN1	0.99	-0.0132
CNN2	0.99	-0.0067
CNN3	0.91	-0.00713
CNNM1	0.667	0.0491
CNNM2	1.90E-06	0.0499
CNNM3	0.99	0.00525
CNNM4	0.4	-0.0659
CNOT1	0.99	-0.0436
CNOT10	0.264	-0.0662
CNOT11	0.99	-0.00131
CNOT2	0.852	0.0619
CNOT3	0.99	-0.00331
CNOT4	0.99	-0.00103
CNOT6	0.297	-0.038
CNOT6L	0.99	0.0306
CNOT7	0.99	-0.00304
CNOT8	0.862	-0.0585
CNOT9	0.124	0.0495
CNP	0.681	-0.008
CNPPD1	0.9	-0.00529
CNPY1	0.395	-0.019
CNPY2	0.99	-0.00358
CNPY3	0.827	0.0185
CNPY4	0.99	0.00898
CNR1	0.477	0.0105
CNR2	0.83	-0.064
CNRIP1	0.341	0.0743
CNST	0.99	-0.00061
CNTD1	0.941	0.0443
CNTD2	0.0014	-0.0407
CNTF	0.99	-0.0122
CNTFR	0.99	0.00479
CNTLN	0.81	0.00827
CNTN1	0.00324	0.0872
CNTN2	0.0822	0.0344
CNTN3	0.00387	-0.106
CNTN4	0.163	-0.0278
CNTN5	0.00997	-0.0837
CNTN6	0.99	-0.00793
CNTNAP1	0.00692	0.0612
CNTNAP2	0.67	-0.104
CNTNAP3	0.99	0.0173
CNTNAP3B	0.99	0.00582
CNTNAP4	0.9	0.0815
CNTNAP5	0.787	-0.0151
CNTRL	0.309	-0.0124
CNTROB	0.99	-0.00527
COA1	0.731	-0.009
COA3	0.0918	-0.0516
COA4	0.99	0.00106
COA5	0.99	-0.00832
COA6	0.824	0.00933
COA7	0.99	-0.002
COASY	0.838	-0.0139
COBL	0.555	-0.00413
COBLL1	0.343	-0.0154
COCH	0.99	0.00822
COG1	0.942	0.0396
COG2	0.899	-0.00431
COG3	0.651	-0.0102
COG4	0.817	-0.00707
COG5	0.367	-0.0104
COG6	0.99	-0.00759
COG7	0.99	-0.0037
COG8	0.99	0.000951
COIL	0.894	-0.0121
COL11A1	0.127	0.0387
COL11A2	0.325	-0.0463
COL12A1	0.644	-0.00938
COL13A1	0.045	0.0884
COL14A1	0.514	-0.0459
COL15A1	0.178	0.0321
COL16A1	0.658	-0.0231
COL17A1	0.0622	0.0601
COL18A1	0.167	-0.00734
COL19A1	0.767	-0.0183
COL1A1	0.815	0.0143
COL1A2	0.583	0.0208
COL20A1	0.894	-0.0861
COL21A1	0.168	0.0206
COL22A1	0.61	-0.0497
COL23A1	0.239	-0.042
COL24A1	0.279	0.0341
COL25A1	0.98	-0.0105
COL26A1	0.266	0.0284
COL27A1	0.99	-0.00197
COL28A1	0.99	-0.0651
COL2A1	0.977	-0.064
COL3A1	0.99	-0.0212
COL4A1	0.0838	-0.0734
COL4A2	0.921	-0.0555
COL4A3	0.612	-0.0116
COL4A3BP	0.99	-0.000926
COL4A4	0.99	-0.0407
COL5A1	0.933	-0.0667
COL5A2	0.00661	0.0485
COL5A3	0.99	-0.0032
COL6A1	0.839	-0.0157
COL6A2	0.99	-0.00648
COL6A3	0.99	-0.0152
COL6A4P1	0.99	0.00433
COL6A4P2	0.99	-0.00862
COL6A5	0.424	-0.0494
COL6A6	0.99	-0.00255
COL7A1	0.511	0.0348
COL8A2	0.974	-0.0936
COL9A1	0.272	-0.0769
COL9A2	0.906	-0.00509
COL9A3	0.253	0.0148
COLCA1	0.015	0.0508
COLCA2	0.99	0.0123
COLEC10	0.99	-0.0725
COLEC11	0.747	0.053
COLEC12	0.371	0.0366
COLGALT1	0.99	0.00066
COLGALT2	0.845	0.0565
COLQ	0.99	-0.00746
COMMD1	0.99	0.00342
COMMD10	0.99	0.0131
COMMD2	0.691	-0.00542
COMMD3-BMI1	0.00624	0.0482
COMMD4	0.99	-0.0213
COMMD5	0.217	-0.0288
COMMD6	0.804	-0.00827
COMMD7	0.652	-0.00531
COMMD8	0.59	-0.039
COMMD9	0.248	-0.0216
COMP	0.198	-0.0371
COMT	0.114	-0.0205
COMTD1	0.99	0.00943
COPA	0.96	0.0589
COPB1	0.99	-0.00166
COPB2	0.99	0.00159
COPE	0.99	-0.00228
COPG1	0.375	-0.0119
COPG2	0.386	-0.0237
COPRS	0.764	0.0434
COPS2	0.99	0.00956
COPS3	0.793	-0.0275
COPS4	0.154	-0.0425
COPS5	0.99	0.00481
COPS6	0.99	-0.000878
COPS7A	0.604	-0.00563
COPS7B	0.99	-0.00264
COPS8	0.0223	-0.0785
COPS9	0.27	0.0652
COPZ1	0.9	-0.0127
COPZ2	0.99	-0.00374
COQ10A	0.99	-0.00621
COQ10B	0.99	0.00521
COQ2	0.882	-0.00973
COQ3	0.55	-0.0134
COQ4	0.884	-0.00552
COQ5	0.732	-0.0318
COQ6	0.99	-0.00674
COQ7	0.479	-0.00782
COQ8A	0.758	-0.0527
COQ8B	0.972	-0.0127
COQ9	0.92	-0.0385
CORIN	0.302	0.0255
CORO1B	0.421	-0.0113
CORO1C	0.99	-0.00908
CORO2A	0.99	-0.0413
CORO2B	0.472	0.0105
CORO6	0.891	-0.0927
CORO7-PAM16	0.772	-0.0242
COTL1	0.99	0.0207
COX10	0.99	-0.00364
COX10-AS1	0.99	-0.00335
COX11	0.99	-0.003
COX14	0.481	-0.00575
COX15	0.99	-0.00274
COX17	0.172	-0.0552
COX18	0.0919	-0.0872
COX20	0.708	-0.0058
COX4I1	0.99	-0.00369
COX4I2	0.99	-0.0505
COX5A	0.902	-0.00629
COX5B	0.99	-0.00869
COX6A1	0.881	0.0182
COX6A2	0.209	-0.0638
COX6B1	0.948	-0.0119
COX6B2	0.971	-0.00589
COX6C	0.332	-0.0288
COX7A1	0.99	0.00961
COX7A2	0.99	0.0161
COX7A2L	0.99	0.00151
COX7B2	0.99	-0.0107
COX7C	0.99	-0.0183
COX8A	0.99	-0.00153
CP	0.99	0.0261
CPA1	0.99	0.0223
CPA2	0.99	0.00375
CPA3	0.99	-0.0299
CPA4	0.99	-0.0163
CPA5	0.99	0.0097
CPA6	0.777	-0.142
CPAMD8	0.638	-0.024
CPB2	0.99	0.00526
CPB2-AS1	0.99	-0.00867
CPD	0.485	-0.0439
CPE	0.0476	0.0883
CPEB1	0.845	-0.0476
CPEB1-AS1	0.0164	-0.0188
CPEB2	0.846	-0.00705
CPEB2-AS1	0.99	-0.0266
CPEB3	0.00805	0.0694
CPEB4	0.907	-0.0205
CPED1	0.99	-0.000979
CPLX1	0.138	-0.0188
CPLX2	0.0429	0.0822
CPLX3	0.731	-0.0192
CPLX4	0.756	-0.0126
CPM	0.847	-0.054
CPN1	0.99	0.00825
CPN2	0.99	0.0276
CPNE1	0.812	-0.0144
CPNE2	0.639	-0.00749
CPNE3	0.99	0.000673
CPNE4	0.948	0.0105
CPNE5	0.854	0.0429
CPNE6	0.99	-0.00455
CPNE7	0.339	-0.104
CPNE8	0.641	-0.00739
CPNE9	0.99	-0.00246
CPO	0.804	-0.0487
CPOX	0.678	0.0127
CPPED1	0.99	0.00218
CPQ	0.99	0.00942
CPS1	0.99	-0.0428
CPSF1	0.99	-0.0123
CPSF2	0.99	0.0461
CPSF3	0.99	-0.0262
CPSF3L	0.99	-0.000936
CPSF4L	0.99	0.0547
CPSF6	0.99	-7.00E-04
CPSF7	0.99	0.00127
CPT1A	0.125	-0.0124
CPT1B	0.99	-0.0091
CPT1C	0.845	0.0179
CPT2	0.99	-0.0225
CPTP	0.99	-0.0113
CPVL	0.99	-0.0174
CPXM1	0.99	-0.00181
CPXM2	0.209	0.024
CPZ	0.235	-0.057
CR1	0.679	-0.00624
CR1L	0.292	-0.00774
CR2	0.629	0.0678
CRABP1	0.836	-0.0545
CRABP2	0.582	-0.0589
CRACR2A	0.623	0.0149
CRACR2B	0.296	0.0238
CRADD	0.0352	-0.148
CRAMP1	0.449	-0.0468
CRAT	0.99	-0.0479
CRB1	0.99	0.0146
CRB2	0.0289	-0.0452
CRB3	0.395	0.0831
CRBN	0.61	-0.0964
CRCP	0.99	-0.00575
CRCT1	0.681	-0.0322
CREB1	0.602	0.00605
CREB3	0.413	-0.0303
CREB3L1	0.000106	0.0422
CREB3L2	0.99	0.00266
CREB3L3	0.948	-0.0387
CREB3L4	0.99	-0.0481
CREB5	0.0389	0.0418
CREBBP	0.446	-0.0524
CREBL2	0.211	-0.1
CREBRF	0.507	-0.0193
CREBZF	0.773	-0.00746
CREG1	0.99	-0.00381
CREG2	0.268	-0.126
CRELD2	0.38	-0.0579
CREM	0.0168	-0.166
CRH	0.522	-0.0541
CRHBP	0.296	-0.194
CRHR1	0.217	0.0418
CRHR2	0.6	-0.00929
CRIM1	0.601	-0.096
CRIP1	0.515	-0.0123
CRIP2	0.00967	-0.057
CRIP3	0.99	-0.0118
CRIPAK	0.13	0.054
CRIPT	0.99	0.00374
CRISP1	0.99	-0.00337
CRISP2	0.894	-0.0904
CRISP3	0.99	-0.00178
CRISPLD1	0.639	-0.00517
CRISPLD2	0.29	-0.018
CRK	0.0046	0.0452
CRKL	0.936	0.0327
CRLF1	0.0609	0.0295
CRLF3	0.0102	-0.196
CRLS1	0.601	-0.00799
CRMP1	0.99	-0.00528
CRNDE	0.99	-0.0237
CRNKL1	0.125	0.115
CRNN	0.99	-0.0124
CROCC	0.000254	0.102
CROCCP2	0.99	-0.014
CROCCP3	0.321	-0.038
CROT	0.99	0.0064
CRP	0.99	-0.00969
CRSP8P	0.99	-0.0305
CRTAC1	0.99	-0.0328
CRTAM	0.99	-0.0105
CRTAP	0.708	-0.00485
CRTC1	0.916	-0.047
CRTC2	0.99	-0.00253
CRTC3	0.619	-0.0141
CRX	0.99	-0.00674
CRY1	0.99	-0.00743
CRY2	0.295	-0.0408
CRYAA	0.968	0.036
CRYAB	0.97	-0.0239
CRYBA1	0.99	-0.0269
CRYBA2	0.811	0.0137
CRYBA4	0.99	-0.00506
CRYBB1	0.99	-0.0149
CRYBB2	0.99	0.0114
CRYBB2P1	0.99	-0.0098
CRYBB3	0.99	-0.014
CRYBG3	0.356	0.0571
CRYGA	0.99	-0.0286
CRYGD	0.99	-0.0103
CRYGN	0.825	-0.0462
CRYGS	0.99	-0.00364
CRYL1	0.288	-0.0994
CRYM	0.387	-0.0314
CRYM-AS1	0.99	-0.0215
CRYZ	0.99	-0.0138
CS	0.748	0.0205
CSAD	0.732	-0.0321
CSDC2	0.99	-0.00538
CSDE1	0.99	-0.00162
CSE1L	0.99	-0.0255
CSF1	0.99	-0.00485
CSF1R	0.99	-0.0277
CSF2	0.99	-0.0121
CSF2RB	0.99	-0.00418
CSF3	0.99	0.00325
CSF3R	0.359	-0.0585
CSGALNACT1	0.931	-0.0923
CSGALNACT2	0.708	0.0226
CSH1	0.99	-0.00832
CSH2	0.99	0.011
CSHL1	0.782	0.0392
CSK	0.717	-0.00463
CSMD1	0.00115	0.0913
CSMD2	0.706	-0.0107
CSMD3	0.263	0.015
CSN1S1	0.99	-0.00995
CSN1S2BP	0.882	-0.0581
CSN2	0.99	-0.0367
CSN3	0.99	-0.00548
CSNK1A1	0.0631	-0.0111
CSNK1A1L	0.902	-0.0561
CSNK1A1P1	0.99	-0.00449
CSNK1D	0.927	-0.0117
CSNK1E	0.000465	-0.0649
CSNK1G1	0.327	0.00972
CSNK1G2	0.29	-0.00593
CSNK1G3	0.782	-0.0222
CSNK2A1	0.99	-0.0022
CSNK2A2	0.99	-0.00682
CSNK2B	0.99	-0.0014
CSPG4	0.509	0.0485
CSPG5	0.843	-0.0226
CSPP1	0.99	0.00228
CSRNP1	0.99	-0.015
CSRNP2	0.946	-0.00624
CSRNP3	0.0519	0.0762
CSRP1	0.0713	-0.0852
CSRP2	0.99	-0.0152
CSRP3	0.99	-0.0202
CST1	0.99	-0.0093
CST11	0.99	-0.0243
CST13P	0.99	-0.0207
CST2	0.99	-0.0093
CST3	0.99	0.00841
CST4	0.99	-0.026
CST5	0.99	-0.0181
CST6	0.0387	-0.034
CST7	0.855	-0.00939
CST8	0.847	0.0865
CST9	0.99	0.00222
CST9L	0.99	-0.0209
CSTA	0.99	-0.0193
CSTB	0.99	-0.0225
CSTF1	0.98	-0.00536
CSTF3	0.16	0.00953
CSTF3-AS1	0.99	-0.0173
CSTL1	0.99	-0.0154
CT62	0.99	-0.00719
CTAGE1	0.99	-0.00576
CTAGE10P	0.777	-0.0282
CTAGE11P	0.99	0.000675
CTAGE15	0.99	-0.0496
CTBP1	6.91E-05	-0.112
CTBP1-AS2	0.672	-0.0159
CTBP2	0.00114	0.0887
CTBS	0.319	-0.0162
CTC1	0.702	-0.00433
CTCF	0.99	0.00257
CTCFL	0.99	-0.00416
CTDNEP1	0.601	-0.00678
CTDP1	0.0215	0.0872
CTDSP1	0.99	0.00364
CTDSP2	0.99	-0.0266
CTDSPL	0.458	-0.00895
CTDSPL2	0.972	-0.0283
CTF1	0.99	-0.00219
CTGF	0.9	-0.00645
CTH	0.99	-0.00207
CTHRC1	0.0711	-0.0299
CTIF	0.99	-0.0111
CTLA4	0.99	0.0216
CTNNA1	0.000503	0.0703
CTNNA2	0.411	-0.0489
CTNNA3	0.99	-0.0273
CTNNAL1	0.99	-0.00468
CTNNB1	0.384	-0.0115
CTNNBIP1	0.00559	-0.0314
CTNNBL1	0.554	-0.00622
CTNND2	0.0608	0.126
CTNS	0.614	-0.00819
CTPS1	0.99	0.00381
CTR9	0.922	0.0408
CTRB1	0.99	-0.0146
CTRB2	0.987	-0.017
CTRC	0.99	-0.0212
CTRL	0.99	-0.0125
CTSA	0.987	-0.00381
CTSB	0.914	-0.00668
CTSC	0.982	-0.00459
CTSE	0.99	-0.00344
CTSF	0.99	-0.025
CTSG	0.99	-0.0627
CTSH	0.99	-0.0209
CTSK	0.99	-0.0371
CTSL	0.987	-0.00904
CTSL3P	0.239	0.0282
CTSLP8	0.295	-0.0665
CTSO	0.99	-0.0215
CTSS	0.99	-0.00651
CTSV	0.99	0.00842
CTSW	0.99	-0.0102
CTSZ	0.99	-0.0139
CTTN	0.122	0.0261
CTTNBP2	0.315	0.019
CTTNBP2NL	0.99	0.00721
CTU1	0.621	0.0592
CTU2	0.99	-0.0136
CTXN1	0.845	-0.00507
CTXN2	0.963	-0.0163
CTXN3	0.99	-0.00675
CUBN	0.99	-0.0214
CUEDC1	0.366	0.0355
CUEDC2	0.691	-0.0102
CUL1	0.737	-0.025
CUL2	0.99	-0.0187
CUL3	0.99	0.00846
CUL4A	0.603	0.0212
CUL5	0.825	0.0767
CUL7	0.99	-0.0124
CUL9	0.36	-0.00929
CUTA	0.592	0.0367
CUTC	0.99	-0.00183
CUX1	0.0609	-0.121
CUX2	0.427	-0.0524
CWC15	0.99	-0.00299
CWC22	0.819	-0.0105
CWC25	0.99	-0.00444
CWC27	0.99	0.0194
CWF19L1	0.966	-0.0178
CWF19L2	0.448	-0.00965
CWH43	0.0533	-0.0118
CX3CL1	0.666	0.0449
CX3CR1	0.99	-0.0113
CXADR	0.99	0.000851
CXADRP2	0.99	-0.0252
CXADRP3	0.0434	-0.0414
CXCL1	0.977	0.0288
CXCL12	0.371	-0.0169
CXCL13	0.99	-0.0116
CXCL14	0.98	-0.014
CXCL16	0.99	-0.011
CXCL2	0.598	-0.00564
CXCL3	0.99	-0.000549
CXCL5	0.733	0.0396
CXCL6	0.99	0.00331
CXCL8	0.99	0.0469
CXCL9	0.99	-0.0136
CXCR1	0.99	-0.0244
CXCR2	0.99	0.00549
CXCR4	0.99	-0.00932
CXCR5	0.99	-0.00691
CXXC1	0.352	-0.0298
CXXC4	0.99	-0.00934
CXXC5	0.761	-0.0121
CYB561	0.353	-0.0896
CYB561A3	0.765	-0.00479
CYB561D1	0.99	-0.00378
CYB561D2	0.99	-0.0299
CYB5A	0.691	0.0211
CYB5B	0.193	-0.0254
CYB5D1	0.99	-0.00179
CYB5D2	0.289	0.0197
CYB5R1	0.99	-0.00653
CYB5R2	0.99	-0.0243
CYB5R3	0.99	-0.00563
CYB5R4	0.661	-0.0249
CYB5RL	0.99	-0.0111
CYBA	0.99	-0.00113
CYBRD1	0.178	0.0354
CYC1	0.959	-0.00388
CYCS	0.99	-0.000648
CYFIP1	0.0484	-0.0275
CYFIP2	0.99	-0.012
CYGB	0.99	-0.00222
CYHR1	0.512	-0.116
CYLC2	0.99	-0.0298
CYLD	0.0122	0.069
CYMP	0.99	-0.0178
CYP11A1	0.99	-0.0253
CYP11B1	0.99	-0.0142
CYP11B2	0.99	-0.0165
CYP17A1	0.99	-0.0137
CYP19A1	0.0674	-0.0691
CYP1A1	0.733	-0.021
CYP1A2	0.99	-0.0262
CYP1B1	0.645	-0.0107
CYP1B1-AS1	0.971	-0.0329
CYP20A1	0.698	-0.00998
CYP21A1P	0.99	-0.0164
CYP21A2	0.328	-0.0648
CYP24A1	0.99	-0.0205
CYP26A1	0.0723	-0.0962
CYP26B1	0.18	0.0537
CYP26C1	0.396	0.0409
CYP27A1	0.913	0.0512
CYP27B1	0.99	-0.00676
CYP27C1	0.99	-0.00732
CYP2A13	0.253	-0.0542
CYP2A6	0.99	-0.00668
CYP2A7	0.99	0.0077
CYP2C18	0.99	0.019
CYP2C19	0.99	-0.0122
CYP2C8	0.99	-0.0127
CYP2C9	0.99	-0.0367
CYP2D7	0.99	-0.0252
CYP2E1	0.99	0.0118
CYP2F1	0.636	0.0492
CYP2J2	0.99	0.00243
CYP2R1	0.465	-0.0631
CYP2S1	0.802	0.0121
CYP2U1	0.483	-0.0708
CYP2W1	0.189	-0.00573
CYP39A1	0.99	0.00555
CYP3A4	0.99	-0.0205
CYP3A43	0.99	-0.0101
CYP46A1	0.834	-0.0116
CYP4A11	0.99	-0.0338
CYP4A22	0.99	-0.0161
CYP4B1	0.99	0.0784
CYP4F11	0.693	-0.0572
CYP4F12	0.99	-0.0243
CYP4F2	0.767	-0.068
CYP4F22	0.215	-0.0569
CYP4F24P	0.99	-0.0207
CYP4F3	0.0153	-0.06
CYP4F30P	0.702	-0.0678
CYP4F35P	0.99	-0.022
CYP4F8	0.99	-0.00562
CYP4V2	0.99	-0.00259
CYP4X1	0.99	0.000997
CYP4Z1	0.99	-0.0494
CYP4Z2P	0.99	-0.0121
CYP51A1	0.685	-0.00816
CYP7A1	0.99	0.00729
CYP7B1	0.806	0.0379
CYR61	0.000363	0.0728
CYS1	0.987	-0.0267
CYSLTR2	0.99	-0.00409
CYSRT1	0.99	-0.00993
CYSTM1	0.466	-0.00624
CYTH1	0.927	-0.00569
CYTH2	0.821	-0.00426
CYTH3	0.443	-0.0102
CYTH4	0.517	0.0341
CYTIP	0.99	-0.0118
CYTL1	0.137	-0.0565
CYYR1	0.99	0.0226
D2HGDH	0.374	-0.0242
DAAM1	0.99	0.00434
DAAM2	0.458	-0.0373
DAB1	0.186	0.0992
DAB2	0.99	-0.00889
DAB2IP	0.000836	0.133
DACH1	0.962	-0.00913
DACT1	0.747	0.0617
DACT2	0.064	-0.0502
DACT3	0.451	0.068
DACT3-AS1	0.606	0.0322
DAD1	0.787	-0.00676
DAG1	0.99	-0.00104
DAGLA	0.214	0.0494
DAGLB	0.901	0.0129
DALRD3	0.77	-0.012
DANCR	0.698	-0.00593
DAND5	0.99	0.00454
DAO	0.99	-0.0427
DAOA-AS1	0.99	0.0256
DAP	0.875	-0.0881
DAPK1	0.69	-0.0158
DAPK2	0.717	-0.0718
DAPK3	0.99	-0.00657
DAPL1	0.99	-0.00584
DAPP1	0.136	-0.0727
DARS	4.22E-05	0.0654
DARS2	0.99	-0.00188
DAW1	0.258	0.0402
DAXX	0.499	-0.0269
DAZAP1	0.99	0.00988
DAZAP2	0.99	-0.0147
DAZL	0.99	0.00628
DBF4	0.99	-0.0012
DBF4B	0.951	0.0108
DBH	0.99	0.0109
DBI	0.99	-0.0084
DBIL5P	0.99	-0.0216
DBIL5P2	0.99	-0.00996
DBN1	0.99	0.000444
DBNDD1	0.99	0.00529
DBNDD2	0.99	-0.0279
DBNL	0.37	-0.0128
DBP	0.913	-0.00961
DBR1	0.99	-0.00432
DBT	0.77	-0.00473
DBX1	0.555	-0.0326
DBX2	0.99	-0.00415
DCAF1	0.99	-0.00186
DCAF10	0.99	0.00101
DCAF11	0.99	0.00538
DCAF12	0.282	0.0315
DCAF13	0.99	-0.00166
DCAF15	0.99	-0.0115
DCAF16	0.99	-0.0105
DCAF17	0.99	-0.0126
DCAF4	0.773	0.0509
DCAF4L1	0.99	-0.0169
DCAF4L2	0.99	-0.0104
DCAF5	0.481	-0.0881
DCAF6	0.99	-0.00198
DCAF7	0.99	-0.00182
DCAF8	0.484	-0.00845
DCAKD	0.399	-0.0123
DCANP1	0.99	-0.0304
DCBLD2	0.99	-0.00257
DCC	0.99	0.00371
DCD	0.99	-0.021
DCDC1	0.99	-0.00102
DCDC2	0.766	0.0597
DCDC2B	0.99	-0.00687
DCDC5	0.843	-0.00657
DCHS1	0.99	-0.0102
DCHS2	0.435	-0.0257
DCK	0.99	0.00526
DCLK1	0.514	-0.00857
DCLK2	0.648	-0.00771
DCLK3	0.99	-0.0154
DCLRE1A	0.99	-0.00339
DCLRE1B	0.99	-0.031
DCLRE1C	0.649	-0.0339
DCN	0.936	-0.0237
DCP1A	0.99	-0.000857
DCP1B	0.948	-0.0042
DCP2	0.99	-0.00575
DCPS	0.318	-0.0398
DCST1	0.127	-0.0699
DCST2	0.99	-0.00908
DCSTAMP	0.99	-0.0184
DCT	0.99	-0.0363
DCTD	0.447	-0.0174
DCTN1	0.99	0.0331
DCTN1-AS1	0.99	-0.0139
DCTN2	0.317	-0.121
DCTN3	0.99	-0.00885
DCTN4	0.986	-0.014
DCTN5	0.902	-0.0079
DCTPP1	0.99	0.00347
DCUN1D1	0.122	-0.0426
DCUN1D2	0.000436	0.0724
DCUN1D4	0.904	0.0317
DCUN1D5	0.284	0.0175
DCXR	0.553	-0.0313
DDA1	0.99	-0.000701
DDAH1	0.573	0.0526
DDAH2	0.0782	0.0304
DDB1	0.979	-0.00341
DDB2	0.99	-0.0014
DDC	0.99	-0.0131
DDHD1	0.505	-0.021
DDHD2	0.802	-0.00602
DDI2	0.507	-0.00656
DDIAS	0.99	-0.00278
DDIT3	0.99	0.00233
DDIT4	0.99	0.00727
DDIT4L	0.99	-0.0236
DDN	0.207	-0.0133
DDO	0.99	-0.029
DDOST	0.968	-0.0478
DDR1	0.354	0.0526
DDR2	0.99	0.0165
DDRGK1	0.339	-0.0124
DDTL	0.99	-0.0115
DDX1	0.99	-0.00825
DDX10	0.606	-0.102
DDX11	0.988	0.0248
DDX11-AS1	0.937	-0.0134
DDX11L2	0.336	-0.0659
DDX11L5	0.238	-0.024
DDX11L9	0.998	0.000641
DDX12P	0.716	0.089
DDX17	0.99	0.0147
DDX18	0.489	-0.0597
DDX19A	0.99	-0.00159
DDX19B	0.499	-0.00702
DDX20	0.99	-0.0256
DDX21	0.752	-0.00731
DDX23	0.882	-0.00511
DDX24	0.99	0.009
DDX25	0.855	-0.00813
DDX27	0.99	-0.0164
DDX28	0.848	0.0138
DDX31	0.99	0.0104
DDX39A	0.99	0.00252
DDX4	0.99	-0.00661
DDX41	0.99	-0.00273
DDX42	0.99	-0.003
DDX43	0.99	0.0178
DDX46	0.99	0.00877
DDX47	0.123	-0.118
DDX5	0.99	-0.00185
DDX50	0.99	0.00283
DDX51	0.867	0.0208
DDX52	0.99	0.0265
DDX54	0.944	0.00672
DDX55	0.99	0.00384
DDX56	0.98	0.0135
DDX58	0.99	0.00218
DDX59	0.99	0.00799
DDX6	0.882	-0.00594
DDX60	0.99	-0.00917
DDX60L	0.78	-0.0246
DEAF1	0.529	-0.024
1-Dec	0.99	-0.0183
DECR1	0.909	-0.00362
DECR2	0.99	-0.00106
DEDD	0.685	-0.011
DEDD2	0.84	-0.0487
DEF6	0.99	-0.00147
DEF8	0.946	-0.0112
DEFA1	0.99	-0.0405
DEFA10P	0.99	-0.0301
DEFA1B	0.99	-0.0227
DEFA4	0.99	-0.0551
DEFA5	0.99	-0.0218
DEFA6	0.99	-0.0473
DEFB1	0.882	0.0427
DEFB104B	0.99	-0.0265
DEFB105A	0.99	-0.0125
DEFB106A	0.99	-0.015
DEFB107A	0.181	-0.0405
DEFB107B	0.99	0.00654
DEFB108B	0.99	-0.02
DEFB110	0.99	-0.0116
DEFB112	0.99	-0.0208
DEFB113	0.99	0.0134
DEFB114	0.99	-0.0169
DEFB115	0.99	-0.0138
DEFB116	0.99	-0.0215
DEFB118	0.99	0.00867
DEFB119	0.99	-0.0463
DEFB121	0.99	-0.00758
DEFB122	0.99	-0.0167
DEFB123	0.99	0.0256
DEFB124	0.99	-0.0195
DEFB125	0.76	-0.0598
DEFB126	0.993	-0.00407
DEFB127	0.99	0.00755
DEFB128	0.99	-0.0157
DEFB129	0.99	-0.0182
DEFB130	0.99	-0.0127
DEFB131	0.963	0.0114
DEFB132	0.675	-0.0617
DEFB134	0.99	-0.033
DEFB135	0.99	0.0187
DEFB136	4.50E-05	0.0743
DEFB4A	0.99	-0.0161
DEFB4B	0.99	0.0092
DEGS1	0.99	-0.00665
DEGS2	0.147	-0.0506
DEK	0.978	0.0294
DENND1A	0.942	-0.0114
DENND1B	0.99	-0.00975
DENND1C	0.99	0.00994
DENND2A	0.99	-0.00849
DENND2C	0.99	0.0134
DENND2D	0.99	0.00994
DENND3	0.762	0.0276
DENND4A	0.99	0.00429
DENND4B	0.605	0.0191
DENND4C	0.99	-0.0282
DENND5A	0.35	-0.0354
DENND5B	0.804	0.0429
DENND5B-AS1	0.99	0.0135
DENND6A	0.963	-0.00854
DENND6B	0.99	-0.0206
DENR	0.99	0.00344
DEPDC1	0.99	-0.00223
DEPDC1B	0.663	-0.00776
DEPDC4	0.961	-0.00339
DEPDC5	0.447	-0.00815
DEPDC7	0.99	-0.00663
DEPTOR	0.854	-0.00744
DERA	0.749	-0.0057
DERL1	0.364	-0.0405
DERL2	0.99	0.0136
DERL3	0.99	-0.011
DES	0.99	-0.0307
DESI1	0.99	-0.00303
DESI2	0.53	0.0375
DET1	0.99	-0.00605
DEUP1	0.0989	-0.0537
DEXI	0.0379	-0.0935
DFFA	0.858	-0.00961
DFFB	0.983	-0.0757
DFNA5	0.99	0.0187
DGAT1	0.796	-0.0087
DGAT2	0.955	0.0185
DGCR14	0.99	0.00181
DGCR2	0.761	-0.00851
DGCR5	0.397	-0.0285
DGCR6	0.99	0.00715
DGCR6L	0.307	-0.0554
DGCR8	0.99	0.0127
DGKA	0.776	-0.00631
DGKB	0.99	-0.0218
DGKD	0.882	-0.012
DGKE	0.99	-0.00234
DGKG	0.833	-0.049
DGKH	0.297	-0.0088
DGKI	0.511	0.0498
DGKQ	0.946	-0.0103
DGKZ	0.99	-0.0165
DGUOK	0.862	0.019
DHCR24	0.985	-0.135
DHCR7	0.95	-0.00487
DHDDS	0.927	-0.0505
DHDH	0.99	-0.0142
DHFR	0.99	-0.075
DHFR2	0.357	-0.00667
DHFRP3	0.99	-0.0209
DHH	0.334	-0.00861
DHODH	0.99	-0.00127
DHPS	0.636	-0.0588
DHRS1	0.99	-0.00952
DHRS11	0.99	-0.0246
DHRS12	0.596	-0.00619
DHRS13	0.57	-0.00869
DHRS2	0.99	-0.0396
DHRS3	0.00179	0.0864
DHRS4-AS1	0.854	0.0126
DHRS4L1	0.99	-0.0377
DHRS4L2	0.684	-0.00626
DHRS7	0.99	-0.0159
DHRS7B	0.656	-0.0358
DHRS7C	0.99	-0.0177
DHRS9	0.834	-0.124
DHTKD1	0.99	-0.00297
DHX15	0.284	0.0438
DHX16	0.539	-0.00713
DHX29	0.733	-0.0116
DHX30	0.813	-0.00886
DHX32	0.021	-0.0448
DHX33	0.99	-0.00136
DHX34	0.909	0.0155
DHX35	0.99	0.00413
DHX36	0.315	-0.00915
DHX37	0.405	-0.0441
